               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.031427,           0.0098727,            0.024098,             0.92849,             0.78137,             0.89244,             0.66222,             0.01668,           0.0045395,            0.012941,           0.0077626,           0.0077626,           0.0077626
                 115,            0.030731,           0.0095314,            0.025015,             0.94255,             0.74162,             0.90377,             0.57277,            0.021702,           0.0045395,            0.012373,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029785,           0.0099816,            0.026024,             0.87293,             0.66667,             0.83316,             0.47418,            0.021355,           0.0045891,            0.013344,            0.007723,            0.007723,            0.007723
                 117,            0.037285,            0.010326,             0.02628,              0.8266,             0.77277,             0.85858,             0.61578,             0.01965,           0.0043802,            0.012515,           0.0077032,           0.0077032,           0.0077032
                 118,            0.031543,           0.0092688,            0.024835,             0.93619,             0.74113,             0.90331,             0.45166,            0.023371,           0.0048399,            0.011916,           0.0076834,           0.0076834,           0.0076834
                 119,             0.03419,           0.0098781,            0.029466,             0.79177,             0.79167,             0.87475,             0.62515,            0.015262,           0.0042419,            0.012053,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024992,           0.0098683,             0.02273,             0.67387,             0.95833,             0.91235,             0.46517,            0.025393,            0.004487,            0.012085,           0.0076438,           0.0076438,           0.0076438
                 121,            0.026566,           0.0099138,            0.020722,             0.84951,             0.70833,             0.89991,             0.66383,            0.016053,           0.0041132,            0.011861,            0.007624,            0.007624,            0.007624
                 122,            0.033002,           0.0080422,            0.021993,             0.81102,             0.85392,             0.93577,             0.53358,             0.02219,           0.0042315,            0.011501,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028738,           0.0082344,            0.024753,             0.93736,             0.86684,              0.9482,             0.66317,            0.019345,           0.0042171,            0.011282,           0.0075844,           0.0075844,           0.0075844
                 124,            0.036408,           0.0098193,             0.02262,             0.93013,             0.82239,             0.94339,             0.52314,             0.02371,           0.0043259,            0.011188,           0.0075646,           0.0075646,           0.0075646
                 125,            0.029231,           0.0094927,            0.022437,             0.76404,             0.83333,             0.93632,               0.634,            0.016762,           0.0041418,            0.012117,           0.0075448,           0.0075448,           0.0075448
                 126,            0.026764,           0.0084914,            0.021978,             0.73013,             0.81933,             0.89645,             0.41243,            0.026333,           0.0045662,            0.011998,            0.007525,            0.007525,            0.007525
                 127,            0.025172,           0.0086488,            0.022329,               0.653,             0.79167,             0.91191,             0.59298,            0.017691,           0.0044117,            0.013458,           0.0075052,           0.0075052,           0.0075052
